id,title,category,price,stock,description
1,現代数学の基礎入門,数学新書,1980,45,大学1年生向けの数学基礎教科書。集合論から始まり、線形代数、微積分まで丁寧に解説。例題も充実しており、独学でも理解しやすい構成。
2,歴史で読み解く日本の古代,歴史新書,1580,32,縄文時代から平安時代までの日本の歴史を最新の研究成果を交えて解説。考古学的発見と文献史料を組み合わせた新しい古代史観を提示。
3,量子力学への第一歩,物理新書,2200,28,高校物理の知識があれば読める量子力学入門書。シュレーディンガー方程式までの道のりを、豊富な図解とともにわかりやすく説明。
4,生命科学の最前線,生物新書,1780,38,ゲノム編集からAIを活用した創薬まで、現代の生命科学研究の最新トピックスを一般読者向けにまとめた一冊。
5,経済学の基本思考,経済新書,1680,42,ミクロ経済学とマクロ経済学の基礎を、身近な例を用いて解説。経済ニュースの理解に役立つ実践的な知識も満載。
6,プログラミング思考入門,工学新書,2100,35,プログラミングの基本概念を学べる入門書。アルゴリズムの考え方から始まり、実践的なコーディング技法まで段階的に習得できる。
7,心理学で解く人間関係,心理新書,1480,50,対人関係や組織での振る舞いを心理学の視点から解説。実生活での応用方法も豊富に紹介し、より良い人間関係構築をサポート。
8,世界の環境問題,環境新書,1880,40,気候変動から生物多様性の損失まで、地球規模の環境問題を科学的データに基づいて解説。持続可能な社会への提言も収録。
9,哲学入門：思考の冒険,哲学新書,1580,45,古代ギリシャから現代思想まで、西洋哲学の主要な潮流をわかりやすく解説。現代社会の諸問題への応用も考察。
10,化学反応のしくみ,化学新書,1980,33,高校化学の復習から始まり、大学レベルの反応機構まで段階的に解説。有機化学・無機化学の基礎が一冊で学べる。
11,宇宙の謎に迫る,天文新書,2150,38,最新の宇宙観測データをもとに、宇宙の起源から現在までを解説。ブラックホールや暗黒物質など最先端の天体物理学も紹介。
12,日本語の歴史と変遷,言語新書,1680,42,上代から現代までの日本語の変遷を豊富な用例とともに解説。方言や外来語の影響など、言語学的視点から分析。
13,統計学のエッセンス,統計新書,1880,35,データ分析の基礎となる統計学の考え方を解説。実践的な例題を通じて、統計的思考法が身につく構成。
14,政治学の基礎知識,政治新書,1780,40,民主主義の理論から現代の政治制度まで、政治学の基本を体系的に解説。国際政治の動向分析も収録。
15,地球科学への招待,地学新書,1980,36,プレートテクトニクスから気象現象まで、地球の営みを科学的に解説。環境問題との関連も詳しく紹介。
16,世界の宗教と文化,宗教新書,1680,45,主要な宗教の教義や歴史を比較文化的視点から解説。現代社会における宗教の役割についても考察。
17,芸術理論入門,芸術新書,1780,38,古典から現代アートまで、芸術理論の変遷を豊富な図版とともに解説。作品鑑賞の新しい視点を提供。
18,考古学の世界,考古新書,2080,32,最新の発掘調査手法と研究成果を紹介。DNA分析など科学的手法を用いた現代考古学の最前線をわかりやすく解説。
19,法学の基本概念,法律新書,1980,40,法律の基礎から憲法、民法、刑法まで、法学の重要概念をわかりやすく解説。判例も交えた実践的な入門書。
20,情報社会の未来,情報新書,2200,35,AI、ビッグデータ、IoTなど、最新のIT技術が社会に与える影響を分析。今後の展望と課題を考察。
21,生物多様性の世界,生態新書,1880,38,地球上の様々な生態系と生物の関係性を解説。絶滅危惧種の保護など、保全生物学の知見も紹介。
22,脳科学のフロンティア,医学新書,2150,32,最新の脳科学研究の成果をわかりやすく解説。意識や記憶のメカニズム、脳の可塑性について詳しく紹介。
23,社会学の視点,社会新書,1780,42,現代社会の諸問題を社会学的視点から分析。家族、教育、労働など身近なテーマを理論的に考察。
24,日本美術の歴史,美術新書,1980,35,縄文時代から現代まで、日本美術の流れを豊富な図版とともに解説。各時代の代表的作品を詳しく紹介。
25,数理論理学入門,論理新書,2080,30,論理学の基礎から数理論理学の発展まで、段階的に解説。計算機科学との関連にも触れた本格的入門書。
26,行動経済学の世界,経済新書,1880,38,人間の経済行動を心理学的視点から分析。従来の経済理論との違いや実務での応用例を豊富に紹介。
27,地理学への招待,地理新書,1780,42,自然地理学と人文地理学の基礎を解説。GISなど最新の地理情報システムの活用例も紹介。
28,音楽理論の基礎,音楽新書,1680,45,古典音楽から現代音楽まで、音楽理論の基礎を体系的に解説。作曲技法や楽曲分析の方法も紹介。
29,教育心理学入門,教育新書,1980,38,学習理論から発達心理学まで、教育に関わる心理学の基礎を解説。実践的な指導法にも言及。
30,認知科学の探究,認知新書,2150,32,人間の認知メカニズムを科学的に解明。記憶、言語、思考のプロセスを最新の研究成果とともに紹介。
31,週刊ビジネス最前線,ビジネス雑誌,480,85,最新の経済動向やビジネストレンドを分析。注目の企業特集や経営者インタビューを掲載。今週の投資情報も充実。
32,月刊デジタルクリエイター,デザイン雑誌,1280,45,最新のデザインツールやテクニックを紹介。プロのクリエイターによるチュートリアルと作例を多数収録。
33,アウトドアライフ,アウトドア雑誌,980,60,キャンプや登山の実践的なノウハウを紹介。最新のアウトドアギア情報とフィールドテスト結果を掲載。
34,トレンドファッション,ファッション雑誌,680,120,今季のトレンドアイテムとコーディネート提案。ストリートスナップやブランド特集も充実。
35,健康生活マガジン,健康雑誌,780,75,最新の健康・医療情報と実践的な健康管理法を紹介。専門家による食事と運動のアドバイスを掲載。
36,インテリア&ライフスタイル,インテリア雑誌,1180,55,住まいのインテリアデザインと収納アイデアを紹介。DIYテクニックや部屋作りのヒントも満載。
37,パソコン活用術,PC雑誌,1080,65,最新のPC活用テクニックとソフトウェアレビュー。初心者向けのIT基礎知識から実践的なTipsまで網羅。
38,美味食楽,グルメ雑誌,880,90,話題の店舗情報とプロのレシピを紹介。食材の選び方や調理テクニックも詳しく解説。
39,ガーデニングライフ,園芸雑誌,980,50,季節の花と野菜の育て方を解説。ガーデニング用品の最新情報と庭づくりのアイデアを紹介。
40,写真アート,写真雑誌,1480,40,プロカメラマンによる撮影テクニック解説。最新カメラ機材のレビューと作品ギャラリーを掲載。
41,投資とマネー,金融雑誌,680,80,株式・投資信託・不動産投資の最新情報。資産運用のプロによる市場分析とアドバイスを掲載。
42,スポーツマガジン,スポーツ雑誌,580,100,各種スポーツの試合結果と選手インタビュー。トレーニング方法や用品情報も充実。
43,音楽ファン,音楽雑誌,780,70,新譜情報とアーティストインタビュー。コンサートレポートと楽器演奏テクニックも掲載。
44,科学の窓,科学雑誌,880,60,最新の科学技術と研究成果を分かりやすく解説。身近な科学の不思議も探究。
45,電化製品研究,家電雑誌,680,85,最新家電製品のレビューと選び方ガイド。使いこなしテクニックも詳しく解説。
46,ドラゴンクエスト Vol.1,少年漫画,480,150,勇者となった少年が仲間とともに世界を救う冒険ファンタジー。迫力のバトルシーンと心温まる展開が特徴。
47,シークレットラブ Vol.3,少女漫画,450,120,高校生活を送る主人公が同級生との恋を育んでいく青春ストーリー。繊細な心情描写が魅力。
48,サイバーハンター Vol.5,SF漫画,500,95,2045年の未来都市を舞台にしたSFアクション。ハイテク捜査と人間ドラマが融合。
49,剣道青春記 Vol.2,スポーツ漫画,450,110,剣道に打ち込む高校生たちの成長と友情を描く。臨場感あふれる試合シーンが見どころ。
50,料理の達人 Vol.8,グルメ漫画,480,85,天才シェフを目指す主人公の成長物語。本格的な料理の技法も学べる教養豊かな作品。
51,探偵事務所24 Vol.4,推理漫画,500,100,凄腕の私立探偵が難事件に挑む本格ミステリー。緻密なトリックと伏線回収が特徴。
52,歴史英雄伝 Vol.6,時代漫画,480,90,戦国時代を舞台に実在の武将たちの活躍を描く。史実に基づいた展開が学習にも最適。
53,お笑い学園 Vol.2,ギャグ漫画,450,130,ユニークなキャラクターたちが繰り広げるドタバタコメディ。笑いが絶えない学園物語。
54,魔法使いの研究室 Vol.3,ファンタジー漫画,480,105,魔法世界を舞台にした冒険物語。独創的な魔法体系と壮大な世界観が魅力。
55,スポーツエース Vol.7,スポーツ漫画,480,95,野球に情熱を捧げる少年の成長物語。熱い友情と試合シーンが見どころ。
56,恋する放課後 Vol.4,恋愛漫画,450,115,高校生たちの淡い恋と友情を描いた青春ストーリー。丁寧な心理描写が特徴。
57,異世界商人 Vol.5,異世界ファンタジー,500,100,商人として異世界で奮闘する主人公の活躍を描く。経済要素も含んだ斬新な展開。
58,バスケ魂 Vol.3,スポーツ漫画,480,110,バスケットボールに魅せられた少年たちの成長と挑戦を描く。迫力の試合シーンが魅力。
59,怪盗アポロン Vol.2,アクション漫画,450,125,天才怪盗の活躍を描くクライムアクション。緻密な計画と華麗な手口が見どころ。
60,幽霊屋敷の謎 Vol.1,ホラー漫画,480,85,古い洋館を舞台にした本格ホラー。じわじわと迫る恐怖と意外な展開が特徴。
61,サイエンスキッズ Vol.4,学習漫画,500,95,理科の面白さを漫画で伝える教育作品。楽しく学べる構成で科学知識が身につく。
62,冒険者ギルド Vol.6,ファンタジー漫画,480,105,剣と魔法の世界を舞台にしたギルド活動を描く。個性的なキャラクターが魅力。
63,忍者学園 Vol.3,アクション漫画,450,120,現代に生きる忍者の学園生活を描くアクション作品。忍術バトルが見どころ。
64,宇宙探検隊 Vol.5,SF漫画,500,90,深宇宙を目指す探検隊の活躍を描くSF大作。壮大な宇宙観と科学考証が特徴。
65,クラス委員長の秘密 Vol.2,学園漫画,450,115,優等生の委員長の意外な素顔を描く学園ストーリー。笑いと感動が織りなす展開。
66,月光の誓い,恋愛小説,1580,45,パリを舞台に、画家志望の女性と伝統あるレストランのシェフの運命的な出会いを描いた大人のラブストーリー。
67,深夜特急刑事,ミステリー小説,1680,55,連続して起きる不可解な密室殺人事件。ベテラン刑事と新米女性detective のコンビが東京の闇に迫る。
68,異世界転生～魔法使いの道～,ファンタジー小説,1480,65,事故で命を落とした高校生が異世界で魔法使いとして転生。特殊な魔法と知恵で世界を救う。
69,青春サイダー,青春小説,1380,50,高校最後の夏、部活に恋に懸命な17歳の心の揺れを瑞々しい筆致で描く。第一回文学賞受賞作。
70,時空探偵アドベンチャー,SF小説,1780,40,タイムマシンを使って歴史的事件の謎に挑む探偵の活躍。歴史とSFが融合した意欲作。
71,サマーメモリーズ,純文学,1580,35,海辺の町を舞台に、三世代の女性たちの人生と秘密を描く。芥川賞候補作品。
72,忍者サバイバル,時代小説,1480,60,戦国時代末期、生き残りをかけた忍者たちの戦いと葛藤を描く歴史巨編。
73,黄昏のホテル,ホラー小説,1580,45,老舗ホテルで起きる怪奇現象の謎に迫るホテルマンの奮闘を描くダーク・ミステリー。
74,キセキの料理人,文芸小説,1680,50,天才料理人と古びた定食屋を舞台に、食を通じた人々の触れ合いを描く感動作。
75,氷の王国,ファンタジー小説,1480,55,永遠の冬に閉ざされた王国を救うため、若き姫と傭兵の織りなす壮大な冒険譚。
76,電脳世界の迷宮,SF小説,1780,45,2050年、仮想現実空間で起きる連続事件の謎に挑むサイバー探偵の活躍を描くテクノサスペンス。
77,桜の庭で,純文学,1580,40,戦後の日本を舞台に、庭師の家族三代の物語を通じて描く日本人の心の変遷。
78,幽霊アパートの管理人さん,ホラー小説,1480,50,古いアパートを舞台に、住人たちと幽霊との不思議な交流を描くヒューマンホラー。
79,錬金術師の娘,ファンタジー小説,1680,45,辺境の街で薬師として生きる少女が、錬金術の秘密に迫る冒険ファンタジー。
80,緋色の研究所,ミステリー小説,1580,55,最先端研究所で起きた密室殺人の謎。若き研究員が科学の知識を駆使して真相に迫る。
81,実践機械学習システム設計,情報工学専門書,3800,25,機械学習システムの設計から実装、運用までを体系的に解説。実務で使えるベストプラクティスと事例を多数収録。
82,最新建築構造設計ガイド,建築工学専門書,4200,20,最新の建築基準に対応した構造設計の実践的手引書。耐震設計から環境配慮型設計まで詳説。
83,臨床医学大系 第4版,医学専門書,12800,15,内科・外科・小児科など各診療科の最新知見を網羅。エビデンスに基づく診断・治療指針を詳述。
84,企業会計実務詳解,会計専門書,4500,30,会計基準の実務的解釈から決算実務まで、具体的事例に基づき解説。税務・監査実務にも対応。
85,有機化学反応メカニズム,化学専門書,5800,20,有機化学反応の電子の動きを詳細に解説。立体選択性や反応条件の理論的背景を徹底分析。
86,電気回路設計の基礎と応用,電気工学専門書,4800,25,アナログ・デジタル回路の設計理論と実践的手法を解説。最新の電子部品情報も満載。
87,環境アセスメント実践ガイド,環境工学専門書,5200,20,環境影響評価の方法論と実施手順を詳説。最新の環境規制と対応策を網羅的に収録。
88,データベース設計実践講座,情報工学専門書,4600,30,リレーショナルデータベースの設計から運用まで、実例を用いて解説。性能チューニング技法も詳述。
89,材料力学の理論と実際,機械工学専門書,5500,20,材料力学の基礎理論から応用まで、豊富な計算例と実験データを交えて解説。
90,統計解析実践ガイド,統計学専門書,4800,25,ビッグデータ時代の統計解析手法を実例とともに解説。Rによる実装手順も詳しく紹介。
91,心理療法技法大全,心理学専門書,6800,20,各種心理療法の理論と実践技法を体系的に解説。ケーススタディと治療記録も豊富に収録。
92,金融工学の理論と応用,金融専門書,5800,25,デリバティブの価格理論から最新のリスク管理手法まで、数理的基礎とともに解説。
93,微分方程式と数値解析,数学専門書,4200,30,常微分・偏微分方程式の理論と数値解法を詳説。プログラミング実装例も多数収録。
94,地盤工学実践マニュアル,土木工学専門書,5500,20,地盤調査から基礎工設計まで、実務に即した解説と計算例を提供。
95,特許法実務詳解,法律専門書,4800,25,特許法の実務的解釈と出願実務のポイントを解説。判例分析と実践的対応策を収録。
96,戦後日本経済の軌跡,経済ノンフィクション,1880,40,高度経済成長から平成不況まで、日本経済の変遷を豊富なデータと証言で描く。
97,チームの心理学,ビジネスノンフィクション,1680,45,成功企業の組織文化と人材育成の秘密に迫る。現場取材と詳細な分析に基づくビジネス書。
98,医療最前線,医療ノンフィクション,1780,35,最新の医療技術と現場の実態をルポルタージュ。現代医療が直面する課題を考察。
99,宇宙開発の真実,科学ノンフィクション,1980,30,世界各国の宇宙開発競争の舞台裏。関係者の証言と未公開資料で描く現代史。
100,グローバル企業の挑戦,産業ノンフィクション,1780,40,日本企業の海外展開と成功事例を分析。経営者インタビューと現地調査に基づく。
101,環境問題の現場から,環境ノンフィクション,1680,45,世界各地の環境問題の実態を取材。解決に向けた取り組みと課題を報告。
102,教育改革の軌跡,教育ノンフィクション,1880,35,戦後日本の教育政策の変遷と現場の実態。教育関係者の証言で描く。
103,デジタル革命の光と影,IT・ノンフィクション,1980,40,技術革新がもたらす社会変革の実態。ベンチャー企業と既存産業の攻防を描く。
104,スポーツ界の舞台裏,スポーツノンフィクション,1680,50,プロスポーツビジネスの実態と選手育成システムの変遷を解明。
105,災害と復興の記録,ルポルタージュ,1780,45,自然災害からの復興過程を追った記録。被災地の現場取材と証言をもとに構成。
106,政界工作の内幕,政治ノンフィクション,1980,35,永田町の権力闘争と政策決定プロセスの実態。関係者の証言で描く現代政治。
107,食の安全を追う,調査ノンフィクション,1680,40,食品業界の実態と安全管理の課題を追究。生産現場から流通までを詳述。
108,科学者たちの挑戦,科学ノンフィクション,1880,35,最先端研究の現場から、breakthrough達成までの軌跡を追った記録。
109,メディアの真実,メディアノンフィクション,1780,40,報道の自由と社会的責任。デジタル時代のジャーナリズムの課題を考察。
110,エネルギー戦争,産業ノンフィクション,1980,35,世界のエネルギー資源を巡る国家間の攻防。業界関係者の証言で描く。